osm_id,osm_type,capacity,aeroway,building,amenity,layer,surface,railway,parking,public_transport,operator,name,longitude,latitude,geom_type
"971814367",ways_poly,,helipad,,,,,,,,,,106.7788303,47.83853315,POLYGON
"291415738",ways_poly,,hangar,yes,,,,,,,,,106.779571914837,47.8394079765948,POLYGON
"386943486",ways_poly,,,,parking,,,,,,,,106.95815855,47.9203342,POLYGON
"241194222",ways_poly,,,,parking,,,,surface,,,,106.95607978316,47.920085412332,POLYGON
"906979355",ways_poly,,apron,,,,,,,,,,106.778379203422,47.8416125139343,POLYGON
"386513094",ways_poly,,,,parking,,asphalt,,,,,,106.786684908874,47.8542164833564,POLYGON
"219949848",ways_poly,,hangar,hangar,,,,,,,,,106.778371807672,47.8422772915153,POLYGON
"927516139",ways_poly,,helipad,,,,,,,,,,106.7783525,47.8388992,POLYGON
"1075896310",ways_poly,,,,parking,,asphalt,,surface,,,,106.786103481798,47.8588878457418,POLYGON
"386513090",ways_poly,,,,parking,,asphalt,,,,,,106.78570735162,47.855264173525,POLYGON
"906973473",ways_poly,,,,parking,,,,,,,,106.781727344745,47.8534339721952,POLYGON
"971814368",ways_poly,,helipad,,,,,,,,,,106.779313096773,47.8381604668099,POLYGON
"385802144",ways_poly,,,,parking,,,,,,,,106.932390037834,47.9237099986934,POLYGON
"387629495",ways_poly,,,,parking,,,,,,,,106.92755358245,47.9310073411892,POLYGON
"1059531341",ways_poly,,,,parking,,,,,,,,106.99667075,47.91724455,POLYGON
"862476808",ways_poly,,,,parking,,,,,,,,106.977954109143,47.9135983074707,POLYGON
"862487218",ways_poly,,,,parking,,,,,,,,106.977194677009,47.9143977827302,POLYGON
"862481694",ways_poly,,,,parking,,,,,,,,106.975522770404,47.9128800175729,POLYGON
"864869112",ways_poly,,,,parking,,,,,,,,106.967597714528,47.9171427027912,POLYGON
"863729927",ways_poly,,,,parking,,,,,,,,106.814680074802,47.9216452470052,POLYGON
"863743212",ways_poly,,,,parking,,,,,,,,106.812432612692,47.9208356461107,POLYGON
"1057958045",ways_poly,,,,parking,,,,,,,,106.975898413472,47.9233888277908,POLYGON
"1057958046",ways_poly,,,,parking,,,,,,,,106.974524944065,47.9232672349235,POLYGON
"1058324662",ways_poly,,,,parking,,,,,,,,106.978833074509,47.9242247658919,POLYGON
"387632806",ways_poly,,,,parking,,,,,,,,106.920103275965,47.9286370957978,POLYGON
